ASV_ID,Domain,Phylum,Class,Order,Family ,Genus,Species,ASV_ID_2
77cd22c07db6ff52deedeb0a167f0210,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oleiphilaceae,g__Oleiphilus,s__uncultured_gamma,77cd22c07db6ff52deedeb0a167f0210
5be632c62f41dfafd5a67e41d4ce2a7b,d__Bacteria,,,,,,,5be632c62f41dfafd5a67e41d4ce2a7b
e8b419bcba3e592f8cc48a5ffc2ff35b,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Ulvibacter,s__Bacteroidetes_bacterium,e8b419bcba3e592f8cc48a5ffc2ff35b
71cbced64cbe444361f7f140378b8f05,d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,s__uncultured_bacterium,71cbced64cbe444361f7f140378b8f05
eb113967e161f464cbc22a23bafd1496,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,eb113967e161f464cbc22a23bafd1496
6ad6cc686e69f6f5b6e2eeeebc9d0ffe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,,6ad6cc686e69f6f5b6e2eeeebc9d0ffe
dbff9b66e6598d2ded03788ba24867b7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,,dbff9b66e6598d2ded03788ba24867b7
f9e5e98f0f9aab4e94f96fbeb8f8e1af,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,f9e5e98f0f9aab4e94f96fbeb8f8e1af
9bbb9c4d9c1c3f541f8c0260341c21cc,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,9bbb9c4d9c1c3f541f8c0260341c21cc
63edd949f8b2d0070c5be16480ba4e68,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__B2M28,f__B2M28,g__B2M28,s__uncultured_gamma,63edd949f8b2d0070c5be16480ba4e68
76fe5239d458177f8180f3dc00c10037,Unassigned,,,,,,,76fe5239d458177f8180f3dc00c10037
fc756abcf724278932c06a40c4aae882,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_bacterium,fc756abcf724278932c06a40c4aae882
7fc5e8a0e8594f798e3c756b546c98e9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,s__uncultured_Alteromonas,7fc5e8a0e8594f798e3c756b546c98e9
7105fb155555eefa6df4cf59c44cf9ac,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,7105fb155555eefa6df4cf59c44cf9ac
6a137831cb1939eb975a49d37dccf407,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,6a137831cb1939eb975a49d37dccf407
ca6973b596b8eb5d729a833891adcd78,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,ca6973b596b8eb5d729a833891adcd78
14f69a4307987d371ef1679e888a5dba,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,14f69a4307987d371ef1679e888a5dba
1daadcdb0426cdedee70ffbbe38c6006,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,1daadcdb0426cdedee70ffbbe38c6006
23f067a1b20cdb6518bcd5dcce13b1b5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JTB23,f__JTB23,g__JTB23,s__uncultured_bacterium,23f067a1b20cdb6518bcd5dcce13b1b5
1410f798feac7ae93e085417318a95dd,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA10353_marine_group,f__UBA10353_marine_group,g__UBA10353_marine_group,s__uncultured_gamma,1410f798feac7ae93e085417318a95dd
a9cf8f98c7a15ecc63b0f41263447e34,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae,g__Oleibacter,s__uncultured_bacterium,a9cf8f98c7a15ecc63b0f41263447e34
db77ecd86af3d8ea011d5921c053894d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Blastochloris,s__Blastochloris_viridis,db77ecd86af3d8ea011d5921c053894d
54dba97e3bda50342abd30cff9e5e1f8,d__Bacteria,,,,,,,54dba97e3bda50342abd30cff9e5e1f8
21b422fcd187a6011aec78341fcd7b3e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,21b422fcd187a6011aec78341fcd7b3e
dd472fe4c60a5ebd2f998e11524cbfa8,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__unidentified_marine,dd472fe4c60a5ebd2f998e11524cbfa8
a9fafb2d024a1494b9c5be42171b1658,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Crocinitomix,s__uncultured_bacterium,a9fafb2d024a1494b9c5be42171b1658
d0b315df91730b40c040bb2030610504,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,,d0b315df91730b40c040bb2030610504
73fbe4371d9f6db9e7984ce63be02106,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unidentified,73fbe4371d9f6db9e7984ce63be02106
5323c6dd766d629cc750b0aabb4aaf72,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,s__Triticum_aestivum,5323c6dd766d629cc750b0aabb4aaf72
9d109b6d9e56a93dbcc522739919f050,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Ulvibacter,s__Bacteroidetes_bacterium,9d109b6d9e56a93dbcc522739919f050
e224edca0fa1ec091beb952ddc3bab19,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__uncultured_Flavobacterium,e224edca0fa1ec091beb952ddc3bab19
8816536f0ae575bcc52a4e25b1ca5c80,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__uncultured_bacterium,8816536f0ae575bcc52a4e25b1ca5c80
72964a7111c311ec50e353b7393061ee,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__unidentified_marine,72964a7111c311ec50e353b7393061ee
706a905f0a78dace9691d987dea53159,d__Bacteria,,,,,,,706a905f0a78dace9691d987dea53159
ab68ee5e5609e748092042370a2a99de,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,ab68ee5e5609e748092042370a2a99de
491ac560c3a4f01690a03b73a819893e,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,s__uncultured_bacterium,491ac560c3a4f01690a03b73a819893e
66e6e9e3dc645a531c1c70085997d64c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__Shewanella_algae,66e6e9e3dc645a531c1c70085997d64c
93677400b550717f528dd16230db0be0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,,,,93677400b550717f528dd16230db0be0
490210efcf9dc7e9c90f058d32273a8e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,490210efcf9dc7e9c90f058d32273a8e
93284296d2f326f53e934ff116cc5629,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiomicrospirales,f__Thioglobaceae,g__SUP05_cluster,,93284296d2f326f53e934ff116cc5629
5e80442d5b000823ba248dd9224ac21f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseovarius,s__uncultured_Alphaproteobacteria,5e80442d5b000823ba248dd9224ac21f
005c64d623529b9b9347b308b178daf4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured,s__uncultured_Saprospiraceae,005c64d623529b9b9347b308b178daf4
ddf6923f48cab9307f4ff169c0280c0d,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter,s__uncultured_Peredibacter,ddf6923f48cab9307f4ff169c0280c0d
de33a15a0c458b88f27d907f345ce087,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,de33a15a0c458b88f27d907f345ce087
48e5c2eb5a333337ff069143787952f2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,48e5c2eb5a333337ff069143787952f2
701194b0e8b1746555e6af1a74cd1c11,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,701194b0e8b1746555e6af1a74cd1c11
1c37096e62bec9f66eab21909e4e9bee,d__Bacteria,,,,,,,1c37096e62bec9f66eab21909e4e9bee
3105fe418b2cb5014069d0b9784a502f,d__Bacteria,,,,,,,3105fe418b2cb5014069d0b9784a502f
db564a1c7ad324a4cc656a3a12dd3ee2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Alcanivoracaceae1,g__Alcanivorax,s__uncultured_Alcanivorax,db564a1c7ad324a4cc656a3a12dd3ee2
b8c10c06f52e797f6a9fea852fbd2226,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,b8c10c06f52e797f6a9fea852fbd2226
18116a27b1eae73e426baddcabcf84f8,d__Bacteria,,,,,,,18116a27b1eae73e426baddcabcf84f8
bbbc5116f86d5843deb826566db25b21,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,bbbc5116f86d5843deb826566db25b21
7be5bc14a324ef57dc359e892d1e7663,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__unidentified_marine,7be5bc14a324ef57dc359e892d1e7663
089dd85916c91b0090fa665b526cda7c,d__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium,,089dd85916c91b0090fa665b526cda7c
b6fbcf01ea746d909fa534f206151e04,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,b6fbcf01ea746d909fa534f206151e04
c113cb141fff074f3110927e4262f6d5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,c113cb141fff074f3110927e4262f6d5
7ce66ea94a616369e18fb84f315b2650,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,7ce66ea94a616369e18fb84f315b2650
1e9935b9543b7f3053588b12537160ca,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,,1e9935b9543b7f3053588b12537160ca
76f3b300942bbd598ba2ce84cc3fd6f7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__uncultured_bacterium,76f3b300942bbd598ba2ce84cc3fd6f7
223b989d90a554b0d03033c852aab2df,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,,223b989d90a554b0d03033c852aab2df
aa95a1712851cbc462bceec9290bcae7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,aa95a1712851cbc462bceec9290bcae7
b9589d57225a07ee1f5d6aa5410750ef,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,b9589d57225a07ee1f5d6aa5410750ef
a89af2fad2013dfa06ed89c139485643,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae,g__Oleibacter,s__uncultured_bacterium,a89af2fad2013dfa06ed89c139485643
d4fd4861ab69c00cbb6d944e03e15372,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS2b_marine_group,s__uncultured_bacterium,d4fd4861ab69c00cbb6d944e03e15372
c93d4d1b79f49f3f9d770e5a82602150,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,c93d4d1b79f49f3f9d770e5a82602150
240af1341e6982e971d62ae0f8a9d0a1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,240af1341e6982e971d62ae0f8a9d0a1
bf7c06ed8f3f87289943cb1841ebc7e9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,bf7c06ed8f3f87289943cb1841ebc7e9
71ea3c0e58c52d3950846b1707e4d492,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__uncultured_bacterium,71ea3c0e58c52d3950846b1707e4d492
24cf8abc5c04086fc069f6009848494b,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Cohaesibacter,s__uncultured_bacterium,24cf8abc5c04086fc069f6009848494b
ad7f2357283e5da43fe9d5b9ec798dde,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ad7f2357283e5da43fe9d5b9ec798dde
d345a7726a1e787bac87ebed43ced537,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Planktomarina,s__uncultured_marine,d345a7726a1e787bac87ebed43ced537
b52f73f6a7dd2814083b65816e0532b2,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__Aureispira,s__uncultured_bacterium,b52f73f6a7dd2814083b65816e0532b2
c73574fa1dcca19d8209bbc09cbb9ac4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,c73574fa1dcca19d8209bbc09cbb9ac4
02706b50985ec0d584f5137d4de34fd6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,s__uncultured_bacterium,02706b50985ec0d584f5137d4de34fd6
cf325f08b4ff6053c07b9d32c1ea813f,d__Bacteria,p__Proteobacteria,,,,,,cf325f08b4ff6053c07b9d32c1ea813f
d3263879becd3b32d1acdf84ac8cc2df,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,d3263879becd3b32d1acdf84ac8cc2df
81e529b5b4ea9acc71811c27caa53509,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,81e529b5b4ea9acc71811c27caa53509
a71dcbe1e77f370a2d560256d96322f4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Nitrincolaceae,g__Neptuniibacter,s__uncultured_bacterium,a71dcbe1e77f370a2d560256d96322f4
f6888a557a964243011d75287dae35e1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,s__uncultured_Alteromonas,f6888a557a964243011d75287dae35e1
be65c2a4da0381739634b84764116196,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,be65c2a4da0381739634b84764116196
e23de42aee40fe23628539441ecfff67,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,,e23de42aee40fe23628539441ecfff67
3b2eb9bcf4005ed8f5e6881463eb113a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__MWH-CFBk5,g__MWH-CFBk5,s__uncultured_bacterium,3b2eb9bcf4005ed8f5e6881463eb113a
fca6c4084d5581e7a1a8dcbfc69333d0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,fca6c4084d5581e7a1a8dcbfc69333d0
